Institution_id,Institution_name
4,臺灣銀行
5,臺灣土地銀行
6,合作金庫商業銀行
7,第一商業銀行
8,華南商業銀行
9,彰化商業銀行
11,上海商業儲蓄銀行
12,台北富邦商業銀行
13,國泰世華商業銀行
16,高雄銀行
17,兆豐國際商業銀行
18,全國農業金庫
21,花旗（台灣）商業銀行
39,澳盛（台灣）商業銀行
50,臺灣中小企業銀行
52,渣打國際商業銀行
53,台中商業銀行
54,京城商業銀行
81,匯豐（台灣）商業銀行
101,瑞興商業銀行
102,華泰商業銀行
103,臺灣新光商業銀行
104,台北市第五信用合作社
108,陽信商業銀行
114,基隆第一信用合作社
115,基隆市第二信用合作社
118,板信商業銀行
119,淡水第一信用合作社
120,新北市淡水信用合作社
147,三信商業銀行
504,新北市瑞芳區漁會
504,新北市萬里區漁會
606,八里區農會
606,三芝區農會
606,三重區農會
606,三峽區農會
606,土城區農會
606,中和地區農會
606,五股區農會
606,平溪區農會
606,石碇區農會
606,坪林區農會
606,林口區農會
606,金山地區農會
606,泰山區農會
606,淡水區農會
606,深坑區農會
606,新店地區農會
606,瑞芳地區農會
606,樹林區農會
606,蘆洲區農會
606,鶯歌區農會
623,士林區農會
623,內湖區農會
623,木柵區農會
623,北投區農會
623,南港區農會
623,景美區農會
700,中華郵政股份有限公司
803,聯邦商業銀行
805,遠東國際商業銀行
806,元大商業銀行
807,永豐商業銀行
808,玉山商業銀行
809,凱基商業銀行
810,星展（台灣）商業銀行
812,台新國際商業銀行
814,大眾商業銀行
815,日盛國際商業銀行
816,安泰商業銀行
822,中國信託商業銀行
903,新北市汐止區農會
904,新莊區農會信用部
928,板橋區農會信用部
961,國防部主計局同袍儲蓄會
